,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
2556,Central African Republic,3/24/20,3,0,0,3,0,0
2557,Central African Republic,3/25/20,3,0,0,3,0,0
2558,Central African Republic,3/26/20,3,0,0,3,0,0
2559,Central African Republic,3/27/20,3,0,0,3,0,0
2560,Central African Republic,3/28/20,3,0,0,3,0,0
2561,Central African Republic,3/29/20,3,0,0,3,0,0
2562,Central African Republic,3/30/20,3,0,0,3,0,0
2563,Central African Republic,3/31/20,3,0,0,3,0,0
2564,Central African Republic,4/1/20,3,0,0,3,0,0
2565,Central African Republic,4/2/20,3,0,0,3,0,0
2566,Central African Republic,4/3/20,8,0,0,3,0,0
2567,Central African Republic,4/4/20,8,0,0,8,0,0
2568,Central African Republic,4/5/20,8,0,0,8,0,0
2569,Central African Republic,4/6/20,8,0,0,8,0,0
2570,Central African Republic,4/7/20,8,0,0,8,0,0
2571,Central African Republic,4/8/20,8,0,0,8,0,0
2572,Central African Republic,4/9/20,8,0,0,8,0,0
2573,Central African Republic,4/10/20,8,0,0,8,0,0
2574,Central African Republic,4/11/20,8,0,0,8,0,0
2575,Central African Republic,4/12/20,8,0,0,8,0,0
2576,Central African Republic,4/13/20,11,0,3,8,0,0
2577,Central African Republic,4/14/20,11,0,4,11,0,3
2578,Central African Republic,4/15/20,12,0,4,11,0,4
2579,Central African Republic,4/16/20,12,0,4,12,0,4
2580,Chad,1/22/20,0,0,0,0,0,0
2581,Chad,1/23/20,0,0,0,0,0,0
2582,Chad,1/24/20,0,0,0,0,0,0
2583,Chad,1/25/20,0,0,0,0,0,0
2584,Chad,1/26/20,0,0,0,0,0,0
2585,Chad,1/27/20,0,0,0,0,0,0
2586,Chad,1/28/20,0,0,0,0,0,0
2587,Chad,1/29/20,0,0,0,0,0,0
2588,Chad,1/30/20,0,0,0,0,0,0
2589,Chad,1/31/20,0,0,0,0,0,0
2590,Chad,2/1/20,0,0,0,0,0,0
2591,Chad,2/2/20,0,0,0,0,0,0
2592,Chad,2/3/20,0,0,0,0,0,0
2593,Chad,2/4/20,0,0,0,0,0,0
2594,Chad,2/5/20,0,0,0,0,0,0
2595,Chad,2/6/20,0,0,0,0,0,0
2596,Chad,2/7/20,0,0,0,0,0,0
2597,Chad,2/8/20,0,0,0,0,0,0
2598,Chad,2/9/20,0,0,0,0,0,0
2599,Chad,2/10/20,0,0,0,0,0,0
2600,Chad,2/11/20,0,0,0,0,0,0
2601,Chad,2/12/20,0,0,0,0,0,0
2602,Chad,2/13/20,0,0,0,0,0,0
2603,Chad,2/14/20,0,0,0,0,0,0
2604,Chad,2/15/20,0,0,0,0,0,0
2605,Chad,2/16/20,0,0,0,0,0,0
2606,Chad,2/17/20,0,0,0,0,0,0
2607,Chad,2/18/20,0,0,0,0,0,0
2608,Chad,2/19/20,0,0,0,0,0,0
2609,Chad,2/20/20,0,0,0,0,0,0
2610,Chad,2/21/20,0,0,0,0,0,0
